fid,ID,X_,Y_,OrigID_2,03_08_22,W_6_07_22,W_6_07,W_6_07_i,Befall_6_0,W_03_08_i,W_3_08_s,Befall_3_0,06_07_22,Bef_6_07_n,_W_22_09_i,_Bef_22_09,WKT_Geom,Pixel_Area_OM,Pixel_Area_CHM,Pos,Befallsart,Befallsart_,Befall__,fid_3,OID_,OrigID,fid_2,OrigID_2_2,_NDVI_4_3count,_NDVI_4_3sum,_NDVI_4_3mean,_NDVI_4_3median,_NDVI_4_3stdev,_NDVI_4_3min,_NDVI_4_3max,_NDVI_4_3range,_NDVI_4_3variety,_NDVI_5_3count,_NDVI_5_3sum,_NDVI_5_3mean,_NDVI_5_3median,_NDVI_5_3stdev,_NDVI_5_3min,_NDVI_5_3max,_NDVI_5_3range,_NDVI_5_3variety,_OSAVIcount,_OSAVIsum,_OSAVImean,_OSAVImedian,_OSAVIstdev,_OSAVImin,_OSAVImax,_OSAVIrange,_OSAVIvariety,_GNDVIcount,_GNDVIsum,_GNDVImean,_GNDVImedian,_GNDVIstdev,_GNDVImin,_GNDVImax,_GNDVIrange,_GNDVIvariety,_NDWIcount,_NDWIsum,_NDWImean,_NDWImedian,_NDWIstdev,_NDWImin,_NDWImax,_NDWIrange,_NDWIvariety,_RVIcount,_RVIsum,_RVImean,_RVImedian,_RVIstdev,_RVImin,_RVImax,_RVIrange,_RVIvariety,_TSAVIcount,_TSAVIsum,_TSAVImean,_TSAVImedian,_TSAVIstdev,_TSAVImin,_TSAVImax,_TSAVIrange,_TSAVIvariety,_PC1_SBcount,_PC1_SBsum,_PC1_SBmean,_PC1_SBmedian,_PC1_SBstdev,_PC1_SBmin,_PC1_SBmax,_PC1_SBrange,_PC1_SBvariety,_PC2_SBcount,_PC2_SBsum,_PC2_SBmean,_PC2_SBmedian,_PC2_SBstdev,_PC2_SBmin,_PC2_SBmax,_PC2_SBrange,_PC2_SBvariety,_PC3_SBcount,_PC3_SBsum,_PC3_SBmean,_PC3_SBmedian,_PC3_SBstdev,_PC3_SBmin,_PC3_SBmax,_PC3_SBrange,_PC3_SBvariety,_CHM_count,_CHM_sum,_CHM_mean,_CHM_median,_CHM_stdev,_CHM_min,_CHM_max,_CHM_range,_CHM_variety,fid_4,OID__2,OrigID_3,CLASS_NR,CLASS_ID,QUALITY,CLASS_NR_2,CLASS_ID_2,QUALITY_2,CLASS_NR_3,CLASS_ID_3,QUALITY_3,CLASS_NR_4,CLASS_ID_4,QUALITY_4,MASK
"1","1",359955.4759,5530854.9297,3102,3/n,,,3,n,3,"3",n,3/n,n,"3",n,"PolygonZM ((359954.8008416 5530854.5368945 206.192 0, 359955.21126578 5530855.66452564 206.192 0, 359956.1509584 5530855.3225055 206.192 0, 359955.740",0.000625,0.00121104,"2",/n,,,"1","12201","3102","1",3102,592,383.708926320076,0.648156970135264,0.649883985519409,0.0621524024466443,0.232243150472641,0.732485771179199,0.500242620706558,0,595,477.997598171234,0.803357307850814,0.812919497489929,0.0424113622521966,0.423932582139969,0.868394911289215,0.444462329149246,0,595,448.017644226551,0.752970830632859,0.763488352298737,0.074434331025775,0.269398480653763,0.849674344062805,0.580275863409042,0,595,257.459312856197,0.432704727489407,0.435570806264877,0.0477361694670393,0.257162123918533,0.572140514850616,0.314978390932083,0,595,-257.459312856197,-0.432704727489407,-0.435570806264877,0.0477361694670394,-0.572140514850616,-0.257162123918533,0.314978390932083,0,595,2946.28968751431,4.95174737397362,4.92000007629395,0.999638439434794,1.54006516933441,6.88366603851318,5.34360086917877,0,595,638.782587051392,1.07358417991831,1.07803630828857,0.0306387314649992,0.844167411327362,1.11638295650482,0.27221554517746,0,61,1432,23.4754098360656,22,5.97153509488234,11,33,22,0,61,6244,102.360655737705,106,23.0010924807435,67,148,81,0,61,9321,152.803278688525,154,5.00104799551856,144,163,19,0,595,254.961761474609,0.428507162142201,0.010894775390625,0.620207113430764,0,1.60342407226562,1.60342407226562,0,"1","12201","3102","1","3.000000",1.7861752181,"4","5.000000",39.773636073,"4","5.000000",0.0922895139,"1","3.000000",1.7861752181,OBIA_SAGA_Mask
"2","2",359955.1789,5530853.7807,3103,3/n,,,3,n,3,"3",n,3/n,n,"1",n,"PolygonZM ((359954.5038416 5530853.3878945 205.758 0, 359954.91426578 5530854.51552564 205.758 0, 359955.8539584 5530854.1735055 205.758 0, 359955.443",0.000625,0.00121104,"2",/n,,,"2","12202","3103","2",3103,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,"2","12202","3103",,,,,,,,,,,,,OBIA_SAGA_Mask
"3","3",359954.8829,5530852.6307,3104,3E/E4,7,,7,No_Esca,3,"3",E/E4,"7",No_Esca,"3",E,"PolygonZM ((359954.2078416 5530852.2378945 205.325 0, 359954.61826578 5530853.36552564 205.325 0, 359955.5579584 5530853.0235055 205.325 0, 359955.147",0.000625,0.00121104,"3",/E4,"4",3E/E,"3","12203","3104","3",3104,4144,2306.44809611142,0.556575312768199,0.5792396068573,0.127705862418624,0.167587473988533,0.816438674926758,0.648851200938225,0,4311,3174.24686726928,0.736313353576729,0.78122878074646,0.115655449763874,0.325026094913483,0.909936547279358,0.584910452365875,0,4311,2779.40679822862,0.64472437908342,0.670586109161377,0.14890323341864,0.171665385365486,0.947052538394928,0.775387153029442,0,4311,1682.94145905972,0.390383080273652,0.404767513275146,0.0661144832657658,0.178013950586319,0.504537999629974,0.326524049043655,0,4311,-1682.94145905972,-0.390383080273652,-0.404767513275146,0.066114483265766,-0.504537999629974,-0.178013950586319,0.326524049043655,0,4311,17095.2208271027,3.96548847763922,3.81810116767883,1.40369240948455,1.34738838672638,10.1265058517456,8.77911746501923,0,4311,4438.02641117573,1.02946564861418,1.04158473014832,0.0639605547954308,0.804977834224701,1.14902091026306,0.344043076038361,0,478,10280,21.5062761506276,22,5.63452469687764,11,38,27,0,478,57597,120.495815899582,125,22.2806129787956,57,167,110,0,478,73606,153.987447698745,154,4.98741610728249,140,163,23,0,4311,4956.3138885498,1.14969006925303,1.32865905761719,0.597194423735317,0,1.86882019042969,1.86882019042969,0,"3","12203","3104","6","9.000000",8.3229911233,"2","0.000000",68.944433892,"6","9.000000",0.2899917716,"6","9.000000",8.3229911233,OBIA_SAGA_Mask
"4","4",359954.5948,5530851.5607,3105,"0",0,,0,No_Esca,0,"0",No_Esca,"0",No_Esca,"0",T,"PolygonZM ((359953.9197416 5530851.1678945 204.891 0, 359954.33016578 5530852.29552564 204.891 0, 359955.2698584 5530851.9535055 204.891 0, 359954.859",0.000625,0.00121104,"0",,,,"4","12204","3105","4",3105,1084,631.457568153739,0.582525431876143,0.694730579853058,0.247393378495892,0.108945854008198,0.846054911613464,0.737109057605267,0,1092,804.161645293236,0.736411763089044,0.842165648937225,0.220565346116833,0.219474196434021,0.917627513408661,0.69815331697464,0,1092,759.463500380516,0.695479395952854,0.807990610599518,0.27807888152878,0.119912251830101,0.981406807899475,0.861494556069374,0,1092,424.461427181959,0.38870094064282,0.418973654508591,0.103368236619622,0.119237378239632,0.571529269218445,0.452291890978813,0,1092,-424.461427181959,-0.38870094064282,-0.418973654508591,0.103368236619622,-0.571529269218445,-0.119237378239632,0.452291890978813,0,1092,6090.8254057169,5.57767894296419,5.86778831481934,3.03122955579068,1.22523379325867,11.9916439056396,10.766410112381,0,1092,1133.85310477018,1.03832701902031,1.09944784641266,0.123453579606556,0.775382518768311,1.16019606590271,0.384813547134399,0,117,2642,22.5811965811966,23,5.31927524823486,12,34,22,0,117,13870,118.547008547009,113,32.731880412294,62,173,111,0,117,17852,152.581196581197,153,5.48071883151049,140,163,23,0,1092,1591.19386291504,1.45713723710168,1.63540649414062,0.450892884690681,0,1.85795593261719,1.85795593261719,0,"4","12204","3105","6","9.000000",14.10014591,"2","0.000000",99.477127948,"6","9.000000",0.5548032103,"6","9.000000",14.10014591,OBIA_SAGA_Mask
"5","5",359954.2909,5530850.3317,3106,1/n,,,1,n,1,"1",n,1/n,n,"1",n,"PolygonZM ((359953.6158416 5530849.9388945 204.458 0, 359954.02626578 5530851.06652564 204.458 0, 359954.9659584 5530850.7245055 204.458 0, 359954.555",0.000625,0.00121104,"2",/n,,,"5","12205","3106","5",3106,1551,919.550549529493,0.592875918458732,0.708485305309296,0.243043033946859,0.0642343983054161,0.818859457969666,0.754625059664249,0,1603,1103.73186390102,0.688541399813487,0.806272506713867,0.236645326101287,0.174794390797615,0.908368229866028,0.733573839068413,0,1603,1057.90753995627,0.659954797227868,0.812580764293671,0.292866384981134,0.0745110660791397,0.949862837791443,0.875351771712303,0,1603,571.728741452098,0.356661722677541,0.375738233327866,0.101522332838112,0.145342066884041,0.568035125732422,0.422693058848381,0,1603,-571.728741452098,-0.356661722677541,-0.375738233327866,0.101522332838113,-0.568035125732422,-0.145342066884041,0.422693058848381,0,1603,8197.11556351185,5.11360920992629,5.73007583618164,2.56201387980304,1.12590181827545,10.1204929351807,8.99459111690521,0,1603,1649.25356715918,1.02885437751664,1.09673452377319,0.129205060454778,0.74781197309494,1.14897859096527,0.401166617870331,0,171,4019,23.5029239766082,24,4.08301899113141,12,34,22,0,171,20930,122.397660818713,115,28.9289267264753,70,179,109,0,171,25617,149.80701754386,150,4.50901084765313,141,161,20,0,1603,130.160186767578,0.0811978707221323,0,0.216794681313351,0,0.809005737304688,0.809005737304688,0,"5","12205","3106","3","1.000000",6.8846342314,"2","0.000000",46.562014475,"3","1.000000",0.1942716626,"3","1.000000",6.8846342314,OBIA_SAGA_Mask
"6","6",359954.0334,5530849.2539,3107,"3",5,,5,No_Esca,3,"3",No_Esca,"5",No_Esca,"5",,"PolygonZM ((359953.3583416 5530848.8610945 204.024 0, 359953.76876578 5530849.98872564 204.024 0, 359954.7084584 5530849.6467055 204.024 0, 359954.298",0.000625,0.00121104,"0",,,,"6","12206","3107","6",3107,4743,3101.1198986806,0.653830887345688,0.726653039455414,0.183974450517584,0.0607678629457951,0.8403000831604,0.779532220214605,0,4834,3793.82059133053,0.784820147151537,0.857142865657806,0.185566909199485,0.146465793251991,0.938220024108887,0.791754230856895,0,4834,3620.88765372336,0.749045853066479,0.84290599822998,0.22519873086667,0.070489764213562,0.97470635175705,0.904216587543488,0,4834,2029.94844587147,0.419931412054504,0.43806529045105,0.0983151307664903,0.139458894729614,0.621775269508362,0.482316374778748,0,4834,-2029.94844587147,-0.419931412054504,-0.43806529045105,0.0983151307664909,-0.621775269508362,-0.139458894729614,0.482316374778748,0,4834,28642.6642717123,5.92525119398269,6.36589050292969,2.32338832239314,1.12833273410797,11.5234899520874,10.3951572179794,0,4834,5174.41956943274,1.07042192168654,1.10836732387543,0.0944055330725734,0.748530089855194,1.15771329402924,0.409183204174042,0,543,10538,19.4069981583794,20,7.8185044477355,6,37,31,0,543,67971,125.17679558011,130,32.6442690427264,40,185,145,0,543,84001,154.697974217311,155,7.40917600561683,136,165,29,0,4834,470.004806518555,0.0972289628710291,0,0.254233581621938,0,1.22413635253906,1.22413635253906,0,"6","12206","3107","3","1.000000",7.0819773811,"4","5.000000",39.731931457,"3","1.000000",0.2833352793,"3","1.000000",7.0819773811,OBIA_SAGA_Mask
"7","7",359953.7169,5530848.1535,3108,"5",5,,5,No_Esca,5,"5",No_Esca,"5",No_Esca,"3",,"PolygonZM ((359953.0418416 5530847.7606945 203.591 0, 359953.45226578 5530848.88832564 203.591 0, 359954.3919584 5530848.5463055 203.591 0, 359953.981",0.000625,0.00121104,"0",,,,"7","12207","3108","7",3108,4180,2850.41619263589,0.681917749434424,0.724925100803375,0.132693470673375,0.121892482042313,0.801435172557831,0.679542690515518,0,4276,3475.70287024975,0.812839773210886,0.853630006313324,0.12587152524312,0.250559151172638,0.909449875354767,0.658890724182129,0,4276,3356.94739896059,0.785067212104909,0.840893924236298,0.165501217596109,0.141393676400185,0.929650187492371,0.788256511092186,0,4276,1804.26351314783,0.421951242550943,0.428191989660263,0.0730692608311127,0.180327862501144,0.575545847415924,0.39521798491478,0,4276,-1804.26351314783,-0.421951242550943,-0.428191989660263,0.0730692608311127,-0.575545847415924,-0.180327862501144,0.39521798491478,0,4276,24484.3479411602,5.72599343806366,6.0625,1.74418244600049,1.23397123813629,9.18838500976562,7.95441377162933,0,4276,4615.73154503107,1.07945078228042,1.10309302806854,0.0686543152760388,0.777646005153656,1.14179599285126,0.364149987697601,0,459,9161,19.958605664488,21,6.70580236956496,5,36,31,0,459,54473,118.677559912854,118,27.9432306107466,49,190,141,0,459,71028,154.745098039216,155,6.2467728436279,138,165,27,0,4276,2158.95208740234,0.504899926894842,0.1636962890625,0.592285117829016,0,1.62347412109375,1.62347412109375,0,"7","12207","3108","4","5.000000",1.7923848061,"4","5.000000",45.967055764,"4","5.000000",0.1246612865,"4","5.000000",1.7923848061,OBIA_SAGA_Mask
"8","8",359953.4763,5530846.9492,3109,"7",7,,7,No_Esca,7,"7",No_Esca,"7",No_Esca,"5",S,"PolygonZM ((359952.8012416 5530846.5563945 203.157 0, 359953.21166578 5530847.68402564 203.157 0, 359954.1513584 5530847.3420055 203.157 0, 359953.740",0.000625,0.00121104,"0",,,,"8","12208","3109","8",3109,6293,3901.76126728207,0.620016092051815,0.694078207015991,0.189319965737439,0.0640407651662827,0.797283887863159,0.733243122696877,0,6439,4836.5752068758,0.751137631134617,0.836799502372742,0.190154847917321,0.181800976395607,0.917047560214996,0.735246583819389,0,6439,4498.87089386582,0.698690929316016,0.788708806037903,0.233824533964847,0.0742864683270454,0.924837052822113,0.850550584495068,0,6439,2549.02252911031,0.395872422598278,0.407187551259995,0.0852055352010696,0.161891877651215,0.582308828830719,0.420416951179504,0,6439,-2549.02252911031,-0.395872422598278,-0.407187551259995,0.0852055352010694,-0.582308828830719,-0.161891877651215,0.420416951179504,0,6439,32193.67738235,4.99979459269296,5.29735231399536,2.03292657419536,1.13684523105621,8.88948535919189,7.75264012813568,0,6439,6734.59180039167,1.04590647622172,1.08738505840302,0.102698209508265,0.751026451587677,1.13919484615326,0.388168394565582,0,690,14920,21.6231884057971,23,8.198977400492,4,38,34,0,690,82150,119.057971014493,116,38.4325813084178,45,198,153,0,690,105348,152.678260869565,151,7.26980791495573,137,165,28,0,6439,3858.46444702148,0.599233490762771,0.360031127929688,0.616964869999333,0,1.66268920898438,1.66268920898438,0,"8","12208","3109","5","7.000000",1.1625688862,"1","3.000000",48.430330053,"5","7.000000",0.0776136688,"5","7.000000",1.1625688862,OBIA_SAGA_Mask
"9","9",359953.1376,5530845.7021,3110,"5",5,,5,No_Esca,5,"5",No_Esca,"5",No_Esca,"5",,"PolygonZM ((359952.4625416 5530845.3092945 202.724 0, 359952.87296578 5530846.43692564 202.724 0, 359953.8126584 5530846.0949055 202.724 0, 359953.402",0.000625,0.00121104,"0",,,,"9","12209","3110","9",3110,5516,3427.68301027268,0.621407362268434,0.682036519050598,0.167670300685716,0.0451462343335152,0.78443431854248,0.739288084208965,0,5698,4401.48636516929,0.772461629548839,0.842020452022552,0.168934574255167,0.139702990651131,0.898159444332123,0.758456453680992,0,5698,4060.73626936972,0.712659927934314,0.783106207847595,0.203331798826647,0.0523690208792686,0.909930884838104,0.857561863958836,0,5698,2359.95333667099,0.414172224757984,0.43262791633606,0.0832941987947815,0.141165122389793,0.63280862569809,0.491643503308296,0,5698,-2359.95333667099,-0.414172224757984,-0.43262791633606,0.0832941987947814,-0.63280862569809,-0.141165122389793,0.491643503308296,0,5698,28114.6084589958,4.93411871867248,5.20689678192139,1.80299266382982,1.09456157684326,8.59192085266113,7.49735927581787,0,5698,5988.09563666582,1.05091183514669,1.08525466918945,0.0921620957640829,0.738340198993683,1.13643789291382,0.398097693920135,0,623,13361,21.446227929374,23,6.16258433151808,10,34,24,0,623,71968,115.518459069021,116,30.5464816383602,46,180,134,0,623,96176,154.375601926164,154,6.04346338433628,140,165,25,0,5698,5684.10322570801,0.997561113672869,1.26991271972656,0.666154240849441,0,1.7808837890625,1.7808837890625,0,"9","12209","3110","6","9.000000",2.994828541,"5","7.000000",58.812445433,"6","9.000000",0.1059796521,"6","9.000000",2.994828541,OBIA_SAGA_Mask
"10","10",359952.809,5530844.5847,3111,"1",1,,1,No_Esca,1,"1",No_Esca,"1",No_Esca,"1",,"PolygonZM ((359952.1339416 5530844.1918945 202.29 0, 359952.54436578 5530845.31952564 202.29 0, 359953.4840584 5530844.9775055 202.29 0, 359953.073634",0.000625,0.00121104,"0",,,,"10","12210","3111","10",3111,2295,1373.01123481989,0.598261975956379,0.659991085529327,0.189681150959255,0.0606702864170074,0.760456621646881,0.699786335229874,0,2385,1751.99722184241,0.734590030122603,0.823340117931366,0.189960901462971,0.14499306678772,0.861567795276642,0.716574728488922,0,2385,1624.64762521535,0.681193972836625,0.76233845949173,0.228301947643028,0.0703767910599709,0.882117092609406,0.811740301549435,0,2385,914.393144756556,0.383393352099185,0.404962450265884,0.0862633028057468,0.129337087273598,0.501851558685303,0.372514471411705,0,2385,-914.393144756556,-0.383393352099185,-0.404962450265884,0.0862633028057463,-0.501851558685303,-0.129337087273598,0.372514471411705,0,2385,11083.146323204,4.64702151916312,4.87878799438477,1.81531726489613,1.1291778087616,7.73517227172852,6.60599446296692,0,2385,2471.93576383591,1.03645105401925,1.07693719863892,0.105627053754394,0.74877917766571,1.12740433216095,0.378625154495239,0,257,5412,21.0583657587549,23,6.407110748721,9,37,28,0,257,32186,125.237354085603,126,29.294593955583,55,180,125,0,257,39308,152.949416342412,152,5.81971104302648,142,164,22,0,2385,1649.06762695312,0.691432967275943,0.654647827148438,0.588866557430426,0,1.71586608886719,1.71586608886719,0,"10","12210","3111","5","7.000000",3.1308561419,"1","3.000000",47.008743918,"5","7.000000",0.120058709,"5","7.000000",3.1308561419,OBIA_SAGA_Mask
